STATION_ID,MMP_SITE_NAME,LONGITUDE,LATITUDE,LOGGER_SERIAL,SAMPLE_DAY,CHL_QA_AVG,NTU_QA_AVG
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-16,0.548,6.258
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-17,0.588,4.311
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-18,0.659,4.227
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-19,0.733,3.852
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-20,0.674,3.465
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-21,0.486,2.662
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-22,0.39,2.515
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-23,0.401,2.526
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-24,0.564,4.191
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-25,0.62,5.509
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-26,0.62,6.949
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-27,0.64,8.914
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-28,0.634,9.591
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-29,0.655,10.268
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-09-30,0.693,11.126
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-10-01,0.718,9.561
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-10-02,0.779,10.921
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-10-03,0.794,14.852
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-10-04,0.609,8.59
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-10-05,0.584,6.608
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-10-06,0.482,4.413
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-10-07,0.416,3.86
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-10-08,0.452,6.458
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-10-09,0.557,12.849
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-10-10,0.629,12.517
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,823,2015-10-11,0.72,10.345
